iter	Passed	Remaining
0	59	59060
1	82	41304
2	104	34760
3	125	31356
4	148	29490
5	169	28041
6	190	27054
7	211	26246
8	235	25931
9	257	25484
10	278	25042
11	300	24718
12	321	24376
13	342	24100
14	363	23870
15	384	23664
16	405	23471
17	427	23298
18	448	23145
19	470	23032
20	491	22901
21	512	22772
22	533	22663
23	554	22553
24	575	22458
25	596	22361
26	618	22271
27	639	22206
28	663	22221
29	684	22148
30	706	22068
31	727	21999
32	749	21966
33	779	22153
34	805	22214
35	833	22308
36	862	22460
37	891	22569
38	920	22675
39	944	22668
40	965	22584
41	988	22551
42	1013	22555
43	1039	22595
44	1066	22628
45	1095	22711
46	1124	22797
47	1154	22889
48	1179	22898
49	1204	22877
50	1230	22900
51	1255	22881
52	1279	22856
53	1303	22830
54	1327	22813
55	1351	22787
56	1376	22764
57	1400	22744
58	1424	22724
59	1448	22695
60	1474	22692
61	1498	22676
62	1522	22645
63	1549	22663
64	1573	22637
65	1597	22610
66	1621	22585
67	1645	22559
68	1670	22535
69	1694	22509
70	1718	22487
71	1742	22459
72	1766	22429
73	1790	22402
74	1814	22377
75	1838	22356
76	1864	22348
77	1888	22321
78	1912	22297
79	1936	22269
80	1960	22246
81	1984	22220
82	2009	22196
83	2033	22170
84	2057	22146
85	2081	22118
86	2105	22095
87	2129	22072
88	2154	22049
89	2177	22021
90	2201	21994
91	2229	22001
92	2253	21972
93	2276	21944
94	2300	21919
95	2325	21895
96	2359	21962
97	2387	21972
98	2414	21978
99	2446	22017
100	2476	22046
101	2503	22043
102	2528	22021
103	2552	21988
104	2576	21960
105	2600	21934
106	2627	21931
107	2658	21957
108	2689	21985
109	2715	21973
110	2740	21951
111	2764	21920
112	2788	21890
113	2812	21862
114	2838	21844
115	2862	21816
116	2887	21789
117	2911	21763
118	2935	21735
119	2960	21709
120	2984	21681
121	3008	21648
122	3032	21621
123	3056	21589
124	3079	21559
125	3103	21527
126	3128	21504
127	3152	21474
128	3176	21447
129	3211	21492
130	3237	21476
131	3261	21445
132	3285	21419
133	3310	21395
134	3387	21702
135	3448	21905
136	3481	21930
137	3508	21915
138	3544	21953
139	3577	21975
140	3603	21951
141	3628	21921
142	3652	21887
143	3679	21874
144	3706	21856
145	3748	21927
146	3788	21984
147	3833	22069
148	3859	22045
149	3884	22010
150	3908	21977
151	3932	21940
152	3957	21908
153	3981	21871
154	4004	21833
155	4029	21797
156	4052	21761
157	4076	21725
158	4100	21687
159	4124	21651
160	4148	21620
161	4172	21584
162	4199	21562
163	4223	21527
164	4246	21491
165	4270	21457
166	4297	21435
167	4334	21467
168	4394	21607
169	4439	21674
170	4465	21647
171	4490	21616
172	4514	21580
173	4538	21546
174	4563	21511
175	4586	21474
176	4611	21441
177	4653	21491
178	4702	21567
